"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050006,MSPB-1,0.961822,,01/01/2024,12/31/2024
050007,MSPB-1,0.969980,,01/01/2024,12/31/2024
050008,MSPB-1,0.987620,,01/01/2024,12/31/2024
050009,MSPB-1,0.980383,,01/01/2024,12/31/2024
050013,MSPB-1,1.039660,,01/01/2024,12/31/2024
050014,MSPB-1,0.961164,,01/01/2024,12/31/2024
050017,MSPB-1,1.004043,,01/01/2024,12/31/2024
050022,MSPB-1,1.121934,,01/01/2024,12/31/2024
050024,MSPB-1,1.069728,,01/01/2024,12/31/2024
050025,MSPB-1,0.990076,,01/01/2024,12/31/2024
050026,MSPB-1,1.077011,,01/01/2024,12/31/2024
050028,MSPB-1,0.907021,,01/01/2024,12/31/2024
050030,MSPB-1,0.879148,,01/01/2024,12/31/2024
050036,MSPB-1,1.053897,,01/01/2024,12/31/2024
050038,MSPB-1,1.050383,,01/01/2024,12/31/2024
050039,MSPB-1,0.989453,,01/01/2024,12/31/2024
050040,MSPB-1,0.833633,,01/01/2024,12/31/2024
050042,MSPB-1,0.947800,,01/01/2024,12/31/2024
050043,MSPB-1,1.007919,,01/01/2024,12/31/2024
050045,MSPB-1,0.965063,,01/01/2024,12/31/2024
050047,MSPB-1,0.946303,,01/01/2024,12/31/2024
050054,MSPB-1,1.071002,,01/01/2024,12/31/2024
050055,MSPB-1,0.925962,,01/01/2024,12/31/2024
050056,MSPB-1,1.071380,,01/01/2024,12/31/2024
050057,MSPB-1,1.024806,,01/01/2024,12/31/2024
050058,MSPB-1,1.113103,,01/01/2024,12/31/2024
050060,MSPB-1,1.006035,,01/01/2024,12/31/2024
050063,MSPB-1,1.176655,,01/01/2024,12/31/2024
050067,MSPB-1,0.827078,,01/01/2024,12/31/2024
050069,MSPB-1,1.000694,,01/01/2024,12/31/2024
050070,MSPB-1,0.851097,,01/01/2024,12/31/2024
050071,MSPB-1,1.008519,,01/01/2024,12/31/2024
050072,MSPB-1,0.879840,,01/01/2024,12/31/2024
050073,MSPB-1,0.868594,,01/01/2024,12/31/2024
050075,MSPB-1,0.943071,,01/01/2024,12/31/2024
050076,MSPB-1,0.856735,,01/01/2024,12/31/2024
050077,MSPB-1,1.042754,,01/01/2024,12/31/2024
050078,MSPB-1,0.977394,,01/01/2024,12/31/2024
050082,MSPB-1,1.016506,,01/01/2024,12/31/2024
050084,MSPB-1,0.994819,,01/01/2024,12/31/2024
050089,MSPB-1,1.155777,,01/01/2024,12/31/2024
050090,MSPB-1,1.011496,,01/01/2024,12/31/2024
050091,MSPB-1,1.078970,,01/01/2024,12/31/2024
050093,MSPB-1,0.992630,,01/01/2024,12/31/2024
050099,MSPB-1,1.062539,,01/01/2024,12/31/2024
050100,MSPB-1,0.995689,,01/01/2024,12/31/2024
050101,MSPB-1,1.032134,,01/01/2024,12/31/2024
050102,MSPB-1,1.428968,,01/01/2024,12/31/2024
050103,MSPB-1,1.095927,,01/01/2024,12/31/2024
050104,MSPB-1,1.106696,,01/01/2024,12/31/2024
050107,MSPB-1,0.942417,,01/01/2024,12/31/2024
050108,MSPB-1,1.002448,,01/01/2024,12/31/2024
050110,MSPB-1,0.999705,,01/01/2024,12/31/2024
050112,MSPB-1,1.012479,,01/01/2024,12/31/2024
050113,MSPB-1,0.913797,,01/01/2024,12/31/2024
050115,MSPB-1,1.115051,,01/01/2024,12/31/2024
050116,MSPB-1,1.091210,,01/01/2024,12/31/2024
050118,MSPB-1,1.060251,,01/01/2024,12/31/2024
050121,MSPB-1,0.989881,,01/01/2024,12/31/2024
050122,MSPB-1,1.052173,,01/01/2024,12/31/2024
050124,MSPB-1,0.994593,,01/01/2024,12/31/2024
050125,MSPB-1,0.992614,,01/01/2024,12/31/2024
050126,MSPB-1,1.157501,,01/01/2024,12/31/2024
050127,MSPB-1,0.889460,,01/01/2024,12/31/2024
050128,MSPB-1,1.039329,,01/01/2024,12/31/2024
050129,MSPB-1,1.047291,,01/01/2024,12/31/2024
050131,MSPB-1,0.926197,,01/01/2024,12/31/2024
050132,MSPB-1,1.214377,,01/01/2024,12/31/2024
050133,MSPB-1,0.977126,,01/01/2024,12/31/2024
050135,MSPB-1,1.351409,,01/01/2024,12/31/2024
050136,MSPB-1,0.973917,,01/01/2024,12/31/2024
050137,MSPB-1,0.911591,,01/01/2024,12/31/2024
050138,MSPB-1,0.896746,,01/01/2024,12/31/2024
050139,MSPB-1,0.882986,,01/01/2024,12/31/2024
050140,MSPB-1,0.931158,,01/01/2024,12/31/2024
050145,MSPB-1,0.943868,,01/01/2024,12/31/2024
050149,MSPB-1,1.047498,,01/01/2024,12/31/2024
050150,MSPB-1,0.966669,,01/01/2024,12/31/2024
050152,MSPB-1,1.094027,,01/01/2024,12/31/2024
050158,MSPB-1,1.256122,,01/01/2024,12/31/2024
050159,MSPB-1,0.999124,,01/01/2024,12/31/2024
050167,MSPB-1,1.013217,,01/01/2024,12/31/2024
050168,MSPB-1,1.055959,,01/01/2024,12/31/2024
050169,MSPB-1,0.959463,,01/01/2024,12/31/2024
050174,MSPB-1,1.037410,,01/01/2024,12/31/2024
050179,MSPB-1,0.952353,,01/01/2024,12/31/2024
050180,MSPB-1,1.022702,,01/01/2024,12/31/2024
050191,MSPB-1,1.101675,,01/01/2024,12/31/2024
050192,MSPB-1,1.062203,,01/01/2024,12/31/2024
050194,MSPB-1,0.962934,,01/01/2024,12/31/2024
050195,MSPB-1,0.989174,,01/01/2024,12/31/2024
050197,MSPB-1,0.942689,,01/01/2024,12/31/2024
050204,MSPB-1,1.057395,,01/01/2024,12/31/2024
050211,MSPB-1,0.961860,,01/01/2024,12/31/2024
050222,MSPB-1,0.940501,,01/01/2024,12/31/2024
050224,MSPB-1,1.020183,,01/01/2024,12/31/2024
050226,MSPB-1,1.076393,,01/01/2024,12/31/2024
050228,MSPB-1,0.907771,,01/01/2024,12/31/2024
050230,MSPB-1,1.173812,,01/01/2024,12/31/2024
050231,MSPB-1,0.991958,,01/01/2024,12/31/2024
050232,MSPB-1,0.925470,,01/01/2024,12/31/2024
050234,MSPB-1,0.850089,,01/01/2024,12/31/2024
